seed;fdr;tpr;fpr;shd;nnz
0;0,2;0,8;0,023529412;7;20
1;0,428571429;0,8;0,070588235;15;28
2;0,318181818;0,75;0,041176471;12;22
3;0,318181818;0,75;0,041176471;11;22
4;0,5;0,7;0,082352941;17;28
5;0,269230769;0,95;0,041176471;8;26
6;0,391304348;0,7;0,052941176;13;23
7;0,5;0,75;0,088235294;20;30
8;0,32;0,85;0,047058824;9;25
9;0,333333333;0,7;0,041176471;12;21
10;0,4;0,75;0,058823529;13;25
11;0,304347826;0,8;0,041176471;10;23
12;0,4;0,75;0,058823529;13;25
13;0,4;0,75;0,058823529;13;25
14;0,464285714;0,75;0,076470588;16;28
15;0,5;0,75;0,088235294;18;30
16;0,409090909;0,65;0,052941176;13;22
17;0,28;0,9;0,041176471;9;25
18;0,517241379;0,7;0,088235294;18;29
19;0,419354839;0,9;0,076470588;14;31
20;0,3;0,7;0,035294118;10;20
21;0,45;0,55;0,052941176;15;20
22;0,318181818;0,75;0,041176471;10;22
23;0,227272727;0,85;0,029411765;7;22
24;0,5;0,7;0,082352941;18;28
25;0,347826087;0,75;0,047058824;11;23
26;0,52;0,6;0,076470588;17;25
27;0,28;0,9;0,041176471;8;25
28;0,304347826;0,8;0,041176471;10;23
29;0,448275862;0,8;0,076470588;15;29
;0,378967617;0,761666667;0,056470588;12,73333333;
