seed;bootstrap_samples;fdr;tpr;fpr;shd;nnz;
0;20;0,15;0,85;0,017647059;6;20;
1;20;0,384615385;0,8;0,058823529;13;26;
2;20;0,263157895;0,7;0,029411765;11;19;
3;20;0,25;0,75;0,029411765;10;20;
4;20;0,304347826;0,8;0,041176471;10;23;
5;20;0;0,85;0;3;17;
6;20;0,285714286;0,75;0,035294118;11;21;
7;20;0,263157895;0,7;0,029411765;11;19;
8;20;0,19047619;0,85;0,023529412;6;21;
9;20;0,133333333;0,65;0,011764706;9;15;
10;20;0,32;0,85;0,047058824;11;25;
11;20;0,19047619;0,85;0,023529412;7;21;
12;20;0,157894737;0,8;0,017647059;7;19;
13;20;0,291666667;0,85;0,041176471;10;24;
14;20;0,166666667;0,75;0,017647059;7;18;
15;20;0,384615385;0,8;0,058823529;12;26;
16;20;0,368421053;0,6;0,041176471;13;19;
17;20;0,217391304;0,9;0,029411765;7;23;
18;20;0,347826087;0,75;0,047058824;12;23;
19;20;0,307692308;0,9;0,047058824;10;26;
20;20;0,166666667;0,75;0,017647059;7;18;
21;20;0,307692308;0,45;0,023529412;15;13;
22;20;0,117647059;0,75;0,011764706;7;17;
23;20;0,2;0,8;0,023529412;8;20;
24;20;0,272727273;0,8;0,035294118;10;22;
25;20;0,285714286;0,75;0,035294118;11;21;
26;20;0,347826087;0,75;0,047058824;13;23;
27;20;0,25;0,9;0,035294118;7;24;
28;20;0,227272727;0,85;0,029411765;8;22;
29;20;0,238095238;0,8;0,029411765;9;21;
;;0,246369828;0,778333333;0,031176471;9,366666667;;
